Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Jordan,JOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,20,23,26,27.2,34.9,37,41.4,46.2,54.22,56.15,64.5,65.2,70.0847,78.4178
Kazakhstan,KAZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.02,11,18.2,31.6,50.6,61.9066,63.3042,66,70.8299,74.5877,76.4267,78.9039,81.8776,85.9426
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.4,5.2,6.1,7.2,8.8,10.5,13,16.5,16.5879,16.6,17.8271,19.5,22.6688,..
Kiribati,KIR,Individuals using the Internet (% of population),IT.NET.USER.ZS,6,7,8.97,9.07,10,10.7468,11.5,12.25,14.9,19.4194,25.3096,32.9864,39.5737,..
"Korea, Dem. People's Rep.",PRK,Individuals using the Internet (% of population),IT.NET.USER.ZS,0,0,0,0,0,0,..,..,..,..,..,..,..,..
"Korea, Rep.",KOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.8,81,81.6,83.7,83.7591,84.07,84.77,87.5568,89.8963,92.843,95.0694,96.0229,96.1576,96.5051
Kosovo,XKX,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,..,..,..,83.8936,89.443,..,..
Kuwait,KWT,Individuals using the Internet (% of population),IT.NET.USER.ZS,34.8,42,50.8,61.4,65.7691,70.45,75.46,78.7,82,85.6,98,99.5988,99.5427,99.1059
Kyrgyz Republic,KGZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.03,15.7,16,16.3,17.5,19.8,23,28.3,30.247,40.5,50.8,62.8,64.1,72
Lao PDR,LAO,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.64,3.55,6,7,9,10.7477,12.5,14.26,18.2,21.87,25.5104,36.3,47.0323,54
